supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	known_nt	known_nt_source	side	nerve	vfb_id	fbbt_id	status
82615723633524512	720575940626745392	174512	48600	4063	174512.0	48600.0	4063.0	7377739.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.5938895305175015	acetylcholine	Davis et al., 2020	right		fw000119	FBbt_00111763	
82264361015894484	720575940626447848	169251	55871	4418	172296.0	48880.0	4520.0	7085617.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.44377651341063235	acetylcholine	Davis et al., 2020	right		fw000636	FBbt_00111763	
76775049281230223	720575940631380695	89720	47376	4853	89720.0	47376.0	4853.0	1822295.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.5833305410963041	acetylcholine	Davis et al., 2020	left		fw001111	FBbt_00111763	
82615792419576053	720575940625835278	174912	49384	4158	174912.0	49384.0	4158.0	7380033.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.5008670720339685	acetylcholine	Davis et al., 2020	right		fw001286	FBbt_00111763	
77338342899510768	720575940639109795	97896	52648	5601	97896.0	52648.0	5601.0	2100146.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.5530034770764789	acetylcholine	Davis et al., 2020	left		fw001979	FBbt_00111763	
82404617535309694	720575940612045352	171784	48368	5080	171784.0	48368.0	5080.0	7085522.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.6949679772904047	acetylcholine	Davis et al., 2020	right		fw002048	FBbt_00111763	
76282124474966876	720575940635307639	82432	42040	5090	82432.0	42040.0	5090.0	1817126.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.5206612621126165	acetylcholine	Davis et al., 2020	left		fw002311	FBbt_00111763	
82264361015898307	720575940605825666	169692	55777	4419	172352.0	48448.0	4873.0	7085625.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.6281807327922889	acetylcholine	Davis et al., 2020	right		fw002355	FBbt_00111763	
82264429735382696	720575940626735016	169659	56082	4419	172016.0	48840.0	4931.0	7085565.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.7430075236248677	acetylcholine	Davis et al., 2020	right		fw002404	FBbt_00111763	
77338480338152026	720575940626414279	97912	54408	5381	97912.0	54408.0	5381.0	2100141.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.5286323707385087	acetylcholine	Davis et al., 2020	left		fw002664	FBbt_00111763	
82475054931780079	720575940618172509	172352	49712	4572	172352.0	49712.0	4572.0	7093310.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.4852069029397573	acetylcholine	Davis et al., 2020	right		fw002867	FBbt_00111763	
82264429735382714	720575940635040357	169184	56063	4419	172208.0	48944.0	4634.0	7085589.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.4716738983324266	acetylcholine	Davis et al., 2020	right		fw003040	FBbt_00111763	
77338411618918274	720575940623262461	97992	53080	5542	97992.0	53080.0	5542.0	2100165.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.4260296645954489	acetylcholine	Davis et al., 2020	left		fw003476	FBbt_00111763	
77127030508496410	720575940641552347	94144	49392	5610	94144.0	49392.0	5610.0	2090685.0	intrinsic	visual_projection				LPLC2	VPNd1	BLD6		acetylcholine	0.5735736391463921	acetylcholine	Davis et al., 2020	left		fw003824	FBbt_00111763	
